method,stream_step,mean_pi,mean_final_gap,n
dispatch_spt,5,0.26109646239611595,0.26088168806029494,63
repair_only,5,1.0733010959306866,1.073304596192493,79
boot_cold,6,0.01455169877759009,0.003156089747622768,153
cpsat_cold,6,0.021152973016357067,0.004297975500993721,153
cpsat_warm,6,0.025066051326159366,0.005872725119189008,121
boot_warm,6,0.02744676729806593,0.0036020188014378087,153
lns_prev_solution,6,0.0576003902304016,0.029724317601089838,45
fix_and_optimize_50,6,0.13233398937429655,0.12930920727433193,45
dispatch_mwkr,6,0.1571499516299325,0.15685612521481807,45
local_branching_prev,6,0.24453946685020847,0.1602265895438881,45
dispatch_spt,6,0.2521787975243961,0.25194359253891313,45
repair_only,6,1.285552677648661,1.2855637909975115,61
boot_cold,7,0.01367711695775919,0.003651364039667383,137
cpsat_cold,7,0.02042968066270998,0.0041136336453383255,137
cpsat_warm,7,0.022979718253856557,0.006992843191635093,105
boot_warm,7,0.02514847572042429,0.0038893079416577325,137
lns_prev_solution,7,0.05826936133484916,0.035617544073124,45
fix_and_optimize_50,7,0.14324553211783572,0.14093306774213127,45
dispatch_mwkr,7,0.15661436672563783,0.15632372077867054,45
dispatch_spt,7,0.2408570067664463,0.2406174026399158,45
local_branching_prev,7,0.2590711336205347,0.17432046583403396,45
repair_only,7,1.2870945081831242,1.2871078661978774,45
boot_cold,8,0.014687477578771006,0.00375837343289431,137
cpsat_cold,8,0.02029449241776758,0.004098076492388333,137
cpsat_warm,8,0.02320103412722076,0.005983803378061281,105
boot_warm,8,0.02427750845831827,0.003893123863357564,137
lns_prev_solution,8,0.05775080032704811,0.030915555474616736,45
dispatch_mwkr,8,0.14705949961401205,0.1467579318148289,45
fix_and_optimize_50,8,0.14928065871685728,0.14660601366004744,45
dispatch_spt,8,0.2286642729545456,0.22841935747408815,45
