method,instance_size,mean_pi,mean_final_gap,n
boot_cold,ta18_20x15,0.027436058931109144,0.010002436180857378,28
cpsat_cold,ta18_20x15,0.04761666721686549,0.011886435245995355,28
cpsat_warm,ta19_20x15,0.02805585702940543,0.006939629599715803,28
boot_warm,ta19_20x15,0.031392019107986245,0.015327752204724225,28
boot_cold,ta19_20x15,0.03953176203433416,0.022533080463933246,28
cpsat_cold,ta19_20x15,0.057440595181126465,0.02752271107740716,28
boot_warm,ta20_20x15,0.02670846186777735,0.00607228388091245,28
cpsat_warm,ta20_20x15,0.0340624003737618,0.010933956581425722,28
boot_cold,ta20_20x15,0.036618197092689424,0.016274238022597465,28
cpsat_cold,ta20_20x15,0.05593230720371612,0.01811025564422672,28
