seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,fixed_machine_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08098851917046773,49,0,0
1,fixed_machine_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015890202719127056,56,0,0
1,fixed_machine_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.018802863574073493,66,0,0
1,fixed_machine_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.029344369833784512,57,0,0
1,fixed_bottleneck_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014770248942842923,46,0,0
1,fixed_bottleneck_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08033751933012452,48,0,0
1,fixed_bottleneck_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015846912252104918,54,0,0
1,fixed_bottleneck_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.01882665140028608,64,0,0
1,fixed_bottleneck_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.029429491424605415,54,0,0
1,fixed_critical_block_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014801083235826884,53,0,0
1,fixed_critical_block_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08153223467869081,60,0,0
1,fixed_critical_block_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.0158677210562808,68,0,0
1,fixed_critical_block_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.018697945735613838,74,0,0
1,fixed_critical_block_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.0292818212630184,67,0,0
1,fixed_delta_expand_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014819670672483378,53,0,0
1,fixed_delta_expand_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08031806891819637,62,0,0
1,fixed_delta_expand_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.01585710759053389,65,0,0
1,fixed_delta_expand_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.0187067308849709,76,0,0
1,fixed_delta_expand_40,i8_r2_s0.5,4,arrival,210,medium,687,687.0,675,0.017777777777777778,0.029371648279096295,62,0,0
