method,split,delta_kind,mean_pi,mean_final_gap,wins
fixed_bottleneck_40,i6_r4_s1,base,0.024363575977354363,0.01072961373390558,1
fixed_bottleneck_40,i6_r4_s0.5,base,0.024371206660806815,0.01072961373390558,1
fixed_late_jobs_40,i6_r4_s0.5,base,0.0244542542808806,0.01072961373390558,1
fixed_late_jobs_40,i6_r4_s1,base,0.024529345289326102,0.01072961373390558,1
fixed_random_40,i6_r4_s0.5,cancellation,0.012384103103999955,0.00425531914893617,1
fixed_random_40,i6_r4_s1,cancellation,0.012391300649826716,0.00425531914893617,1
fixed_late_jobs_40,i6_r4_s1,cancellation,0.014269372568625541,0.00425531914893617,1
fixed_late_jobs_40,i6_r4_s0.5,cancellation,0.014272010912681243,0.00425531914893617,1
fixed_bottleneck_40,i6_r4_s0.5,cancellation,0.01491517981666802,0.007253819898561357,0
fixed_bottleneck_40,i6_r4_s1,cancellation,0.014968537660609325,0.007253819898561357,0
fixed_delta_40,i6_r4_s0.5,cancellation,0.015258831483748583,0.008003445085967655,0
fixed_delta_40,i6_r4_s1,cancellation,0.015284961166371009,0.008003445085967655,0
cpsat_warm,full,cancellation,0.01705131113706021,0.00425531914893617,1
fixed_critical_40,i8_r2_s0.5,cancellation,0.017260599559726503,0.007253819898561357,0
fixed_delta_expand_40,i8_r2_s0.5,cancellation,0.017281919237752394,0.007253819898561357,0
fixed_critical_block_40,i8_r2_s0.5,cancellation,0.01728283339594732,0.007253819898561357,0
fixed_late_jobs_40,i8_r2_s0.5,cancellation,0.017321589315533306,0.007253819898561357,0
fixed_bottleneck_40,i8_r2_s0.5,cancellation,0.017336781826195496,0.007253819898561357,0
fixed_outage_window_40,i8_r2_s0.5,cancellation,0.017340240764006726,0.007253819898561357,0
fixed_machine_40,i8_r2_s0.5,cancellation,0.017346533146600274,0.007253819898561357,0
fixed_random_40,i8_r2_s0.5,cancellation,0.017360203706999394,0.007253819898561357,0
fixed_delta_40,i8_r2_s0.5,cancellation,0.017462644955083484,0.007253819898561357,0
fixed_machine_40,i6_r4_s0.5,cancellation,0.017475629217361607,0.00875307027337395,0
fixed_machine_40,i6_r4_s1,cancellation,0.01781185834757013,0.00875307027337395,0
fixed_critical_40,i6_r4_s0.5,cancellation,0.01817682525093367,0.00946229013152998,0
fixed_delta_expand_40,i6_r4_s0.5,cancellation,0.01831924915479745,0.00950269546078025,0
fixed_outage_window_40,i6_r4_s0.5,cancellation,0.01832621091085597,0.00950269546078025,0
fixed_outage_window_40,i6_r4_s1,cancellation,0.018347334790983723,0.00950269546078025,0
fixed_delta_expand_40,i6_r4_s1,cancellation,0.018361238852491177,0.00950269546078025,0
fixed_critical_40,i6_r4_s1,cancellation,0.019002322912706253,0.00946229013152998,0
cpsat_cold,full,cancellation,0.020859011533153643,0.0029985007496251873,1
fixed_critical_block_40,i6_r4_s1,cancellation,0.022148531591738015,0.012501196210405435,0
fixed_critical_block_40,i6_r4_s0.5,cancellation,0.022157852747246718,0.012501196210405435,0
cpsat_cold,full,duration_jitter,0.028803088973623287,0.012030358142856407,1
fixed_critical_block_40,i6_r4_s1,duration_jitter,0.04900212154920606,0.01852795887856229,0
fixed_outage_window_40,i6_r4_s1,duration_jitter,0.04938292820701928,0.01852795887856229,0
fixed_outage_window_40,i6_r4_s0.5,duration_jitter,0.04953322786894104,0.01852795887856229,0
cpsat_warm,full,duration_jitter,0.050024866483357446,0.008805158675112898,0
fixed_delta_40,i6_r4_s0.5,duration_jitter,0.05058854841381927,0.016677134548892074,0
fixed_random_40,i6_r4_s1,duration_jitter,0.05133413955618135,0.013432733260379257,0
fixed_delta_expand_40,i6_r4_s0.5,duration_jitter,0.051433600885208965,0.018070711507734673,0
fixed_delta_expand_40,i6_r4_s1,duration_jitter,0.05145839275470529,0.018070711507734673,0
fixed_random_40,i6_r4_s0.5,duration_jitter,0.051841743125297816,0.016644382279352454,0
fixed_critical_40,i8_r2_s0.5,duration_jitter,0.052544626289033974,0.02123817707289756,0
fixed_late_jobs_40,i6_r4_s1,duration_jitter,0.053776064598021124,0.015795392076776455,0
