instance,delta_kind,num_ops,round_index,arm,objective_before,objective_after,improved,elapsed,round_time,reward
0,base,225,65,critical_40,699,699,False,9.86926370402216,0.026604339014738798,0.0
0,base,225,66,random_40,699,699,False,9.896976499032462,0.027712795010302216,0.0
0,base,225,67,critical_40,699,699,False,9.924270961026195,0.02729446199373342,0.0
0,base,225,68,critical_40,699,699,False,9.95189937602845,0.02762841500225477,0.0
1,duration_jitter,225,0,critical_40,720,708,True,8.168182624038309,0.1620882410206832,74.03374806485034
1,duration_jitter,225,1,delta_40,708,708,False,8.195927512046183,0.02774488800787367,0.0
1,duration_jitter,225,2,critical_40,708,705,True,8.248491542035481,0.05256402998929843,57.07324953225187
1,duration_jitter,225,3,critical_40,705,705,False,8.276200884021819,0.027709341986337677,0.0
1,duration_jitter,225,4,random_40,705,705,False,8.30351160900318,0.027310724981362,0.0
1,duration_jitter,225,5,delta_40,705,705,False,8.32943214502302,0.025920536019839346,0.0
1,duration_jitter,225,6,delta_40,705,705,False,8.35792138503166,0.02848924000863917,0.0
1,duration_jitter,225,7,delta_40,705,705,False,8.38603785901796,0.02811647398630157,0.0
1,duration_jitter,225,8,critical_40,705,703,True,8.550345277035376,0.16430741801741533,12.172304964271396
1,duration_jitter,225,9,delta_40,703,703,False,8.576716480019968,0.026371202984591946,0.0
1,duration_jitter,225,10,delta_40,703,703,False,8.605050752026727,0.02833427200675942,0.0
1,duration_jitter,225,11,delta_40,703,703,False,8.633070545009105,0.028019792982377112,0.0
1,duration_jitter,225,12,machine_40,703,701,True,8.669763050012989,0.036692505003884435,54.50704441651697
1,duration_jitter,225,13,critical_40,701,700,True,8.701596907019848,0.031833857006859034,31.413095805027222
1,duration_jitter,225,14,critical_40,700,700,False,8.729198948014528,0.027602040994679555,0.0
1,duration_jitter,225,15,critical_40,700,700,False,8.757308002008358,0.028109053993830457,0.0
1,duration_jitter,225,16,delta_40,700,700,False,8.785008172009839,0.02770017000148073,0.0
1,duration_jitter,225,17,random_40,700,700,False,8.813302167021902,0.028293995012063533,0.0
1,duration_jitter,225,18,critical_40,700,700,False,8.840578776027542,0.02727660900563933,0.0
1,duration_jitter,225,19,random_25,700,699,True,8.879837898013648,0.03925912198610604,25.471787177357253
1,duration_jitter,225,20,delta_40,699,699,False,8.906378013023641,0.026540115009993315,0.0
1,duration_jitter,225,21,random_40,699,699,False,8.933354071021313,0.026976057997671887,0.0
1,duration_jitter,225,22,critical_40,699,699,False,8.962364952021744,0.029010881000431255,0.0
1,duration_jitter,225,23,random_40,699,699,False,8.99079457402695,0.0284296220052056,0.0
1,duration_jitter,225,24,delta_40,699,699,False,9.0193359440309,0.02854137000394985,0.0
1,duration_jitter,225,25,random_40,699,699,False,9.04865465205512,0.02931870802422054,0.0
1,duration_jitter,225,26,random_40,699,699,False,9.077221800049301,0.02856714799418114,0.0
1,duration_jitter,225,27,delta_40,699,699,False,9.104524770053104,0.02730297000380233,0.0
1,duration_jitter,225,28,delta_40,699,699,False,9.131130294059403,0.026605524006299675,0.0
1,duration_jitter,225,29,random_40,699,699,False,9.159712597058387,0.028582302998984233,0.0
1,duration_jitter,225,30,delta_40,699,699,False,9.188480693061138,0.0287680960027501,0.0
1,duration_jitter,225,31,delta_40,699,699,False,9.216733750043204,0.028253056982066482,0.0
1,duration_jitter,225,32,critical_40,699,699,False,9.245567318052053,0.028833568008849397,0.0
1,duration_jitter,225,33,delta_40,699,699,False,9.273770197032718,0.028202878980664536,0.0
1,duration_jitter,225,34,delta_40,699,699,False,9.30191409602412,0.02814389899140224,0.0
1,duration_jitter,225,35,delta_40,699,699,False,9.327959930029465,0.02604583400534466,0.0
1,duration_jitter,225,36,delta_40,699,699,False,9.35597190001863,0.028011969989165664,0.0
1,duration_jitter,225,37,delta_40,699,699,False,9.384533615026157,0.0285617150075268,0.0
1,duration_jitter,225,38,random_40,699,699,False,9.412044612021418,0.02751099699526094,0.0
1,duration_jitter,225,39,delta_40,699,699,False,9.439375635003671,0.02733102298225276,0.0
1,duration_jitter,225,40,random_40,699,699,False,9.46854071499547,0.029165079991798848,0.0
