seed,instance,delta_kind,method,value,initial_value,proven_optimal,best_known,final_gap,primal_integral
4,2,removal,cplex_boot_cold,425135196,424941971.0,True,425135738,1.2748869397566385e-06,4.7906272015283425e-05
4,3,value_jitter,cpsat_cold,426534545,,True,426534545,0.0,0.016126341361367022
4,3,value_jitter,boot_cold,426534545,426012491.0,True,426534545,0.0,8.440750813997352e-05
4,3,value_jitter,gurobi_cold,426533204,,True,426534545,3.143942303664994e-06,0.0001637862312034866
4,3,value_jitter,gurobi_boot_cold,426533204,425732452.0,True,426534545,3.143942303664994e-06,6.391620671468415e-05
4,3,value_jitter,cplex_cold,426520999,,True,426534545,3.175827177139896e-05,0.000548057704391353
4,3,value_jitter,cplex_boot_cold,426520999,426011949.0,True,426534545,3.175827177139896e-05,7.962420800861777e-05
4,4,removal,cpsat_cold,420357882,,True,420357882,0.0,0.014723728711598254
4,4,removal,boot_cold,420357882,420234435.0,True,420357882,0.0,6.156191345578894e-05
4,4,removal,gurobi_cold,420357881,,True,420357882,2.3789252987053543e-09,0.00013980854598315303
4,4,removal,gurobi_boot_cold,420357881,420234435.0,True,420357882,2.3789252987053543e-09,5.2592603649885226e-05
4,4,removal,cplex_cold,420354327,,True,420357882,8.457079436897534e-06,0.0005274475691831802
4,4,removal,cplex_boot_cold,420354327,420234435.0,True,420357882,8.457079436897534e-06,5.392079563579363e-05
5,0,base,cpsat_cold,421442391,,False,421442391,0.0,0.015159396123972744
5,0,base,boot_cold,421442391,,False,421442391,0.0,0.015105534852606736
5,0,base,gurobi_cold,421441948,,True,421442391,1.0511519710887366e-06,0.0001200607313517128
5,0,base,gurobi_boot_cold,421441948,,True,421442391,1.0511519710887366e-06,0.00011229522846119746
5,0,base,cplex_cold,421441870,,True,421442391,1.2362306477138415e-06,0.00044484710736810524
5,0,base,cplex_boot_cold,421441870,,True,421442391,1.2362306477138415e-06,0.0004356290774564052
5,1,removal,cpsat_cold,413442411,,True,413442411,0.0,0.01353691049294791
5,1,removal,boot_cold,413442411,413222816.0,True,413442411,0.0,6.374285477769782e-05
5,1,removal,gurobi_cold,413441956,,True,413442411,1.1005160280956275e-06,0.00010953156148992269
5,1,removal,gurobi_boot_cold,413441956,412285832.0,True,413442411,1.1005160280956275e-06,4.8098017496598055e-05
5,1,removal,cplex_cold,413436034,,True,413442411,1.542415540915564e-05,0.00047423516724186455
5,1,removal,cplex_boot_cold,413436034,413115074.0,True,413442411,1.542415540915564e-05,6.0032110394208346e-05
5,2,value_jitter,cpsat_cold,414630573,,True,414630573,0.0,0.01496384233903567
5,2,value_jitter,boot_cold,414630573,413433373.0,True,414630573,0.0,0.00010281253994600353
5,2,value_jitter,gurobi_cold,414625651,,True,414630573,1.1870808185676168e-05,0.0002319793113470399
5,2,value_jitter,gurobi_boot_cold,414625651,413432918.0,True,414630573,1.1870808185676168e-05,6.287618011937909e-05
5,2,value_jitter,cplex_cold,414599397,,True,414630573,7.518982446091837e-05,0.0005124261856938212
5,2,value_jitter,cplex_boot_cold,414599397,413426996.0,True,414630573,7.518982446091837e-05,0.00012530430491902101
5,3,arrival,cpsat_cold,421521849,,True,421521849,0.0,0.01638988802418421
5,3,arrival,boot_cold,421521849,414630573.0,True,421521849,0.0,0.00035376797590575476
5,3,arrival,gurobi_cold,421521830,,True,421521849,4.5074769066122595e-08,0.00012513321862565725
5,3,arrival,gurobi_boot_cold,421521830,414625651.0,True,421521849,4.5074769066122595e-08,6.543672691839866e-05
5,3,arrival,cplex_cold,421501555,,True,421521849,4.8144598075152206e-05,0.0005144784700072736
5,3,arrival,cplex_boot_cold,421501555,414599397.0,True,421521849,4.8144598075152206e-05,0.00010489735227014378
5,4,value_jitter,cpsat_cold,422842620,,True,422842620,0.0,0.01782806842489742
5,4,value_jitter,boot_cold,422842620,421743167.0,True,422842620,0.0,9.944208136759025e-05
5,4,value_jitter,gurobi_cold,422841174,,True,422842620,3.4197120432183492e-06,0.00012354553486570346
5,4,value_jitter,gurobi_boot_cold,422841174,421743148.0,True,422842620,3.4197120432183492e-06,5.181827832469452e-05
5,4,value_jitter,cplex_cold,422830390,,True,422842620,2.892329065598922e-05,0.0005053879075261855
